1;MONTERO (Call Me By Your Name);Lil Nas X;46.541.909,00
2;Peaches (feat. Daniel Caesar & Giveon);Justin Bieber;41.719.872,00
3;Kiss Me More (feat. SZA);Doja Cat;34.664.284,00
4;Your Power;Billie Eilish;32.938.716,00
5;Levitating (feat. DaBaby);Dua Lipa;28.581.586,00
6;Astronaut In The Ocean;Masked Wolf;26.918.334,00
7;Leave The Door Open;Bruno Mars;25.641.105,00
8;RAPSTAR;Polo G;25.342.935,00
9;Save Your Tears (with Ariana Grande) (Remix);The Weeknd;24.068.955,00
10;Fiel;Los Legendarios;23.965.145,00
11;deja vu;Olivia Rodrigo;21.765.571,00
12;Pareja Del Año;Sebastian Yatra;20.899.730,00
13;drivers license;Olivia Rodrigo;19.895.667,00
14;Heartbreak Anniversary;Giveon;19.220.863,00
15;Botella Tras Botella;Gera MX;18.675.665,00
16;Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton;18.551.653,00
17;Am;Nio Garcia;18.500.906,00
18;Blinding Lights;The Weeknd;18.361.347,00
19;telepatía;Kali Uchis;17.979.938,00
20;DÁKITI;Bad Bunny;17.233.511,00
21;The Business;Tiësto;16.758.242,00
22;Runaway;AURORA;16.701.677,00
23;Hold On;Justin Bieber;15.399.104,00
24;Save Your Tears;The Weeknd;14.773.311,00
25;Up;Cardi B;14.440.018,00
26;Mood (feat. iann dior);24kGoldn;13.425.883,00
27;Arcade;Duncan Laurence;13.101.618,00
28;Heat Waves;Glass Animals;12.988.536,00
29;Bandido;Myke Towers;12.793.092,00
30;Streets;Doja Cat;12.707.455,00
31;Your Love (9PM);ATB;12.547.102,00
32;Goosebumps - Remix;Travis Scott;12.431.329,00
33;911;Sech;12.367.606,00
34;WITHOUT YOU (with Miley Cyrus);The Kid LAROI;12.209.377,00
35;Watermelon Sugar;Harry Styles;12.129.175,00
36;EL MAKINON;KAROL G;12.038.438,00
37;Beautiful Mistakes (feat. Megan Thee Stallion);Maroon 5;12.036.812,00
38;Dynamite;BTS;11.853.283,00
39;Calling My Phone;Lil Tjay;11.534.491,00
40;Someone You Loved;Lewis Capaldi;11.219.867,00
41;LA NOCHE DE ANOCHE;Bad Bunny;11.141.667,00
42;Don't Start Now;Dua Lipa;10.998.358,00
43;WITHOUT YOU;The Kid LAROI;10.891.045,00
44;BED;Joel Corry;10.648.906,00
45;Talking to the Moon;Bruno Mars;10.460.696,00
46;We're Good;Dua Lipa;10.162.838,00
47;I DID IT (feat. Post Malone-Megan Thee Stallion-Lil Baby & DaBaby);DJ Khaled;10.008.346,00
48;Best Friend (feat. Doja Cat);Saweetie;9.967.120,00
49;Head & Heart (feat. MNEK);Joel Corry;9.844.201,00
50;positions;Ariana Grande;9.580.101,00
51;Good Days;SZA;9.340.205,00
52;Baila Conmigo (with Rauw Alejandro);Selena Gomez;9.276.370,00
53;Sweater Weather;The Neighbourhood;9.214.295,00
54;Paradise (feat. Dermot Kennedy);MEDUZA;9.122.492,00
55;Lemonade (feat. Gunna-Don Toliver & NAV);Internet Money;8.794.899,00
56;Ella No Es Tuya - Remix;Rochy RD;8.733.340,00
57;Body (Remix) [feat. ArrDee-E1(3x3)-ZT(3x3)-Bugzy Malone-Buni-Fivio Foreign & Darkoo];Tion Wayne;8.665.633,00
58;ROCKSTAR (feat. Roddy Ricch);DaBaby;8.656.518,00
59;Hecha Pa' Mi;Boza;8.601.789,00
60;Dance Monkey;Tones And I;8.484.609,00
61;Cover Me In Sunshine;P!nk;8.412.845,00
62;Wants and Needs (feat. Lil Baby);Drake;8.408.987,00
63;lovely (with Khalid);Billie Eilish;8.352.599,00
64;34+35;Ariana Grande;8.283.832,00
65;Anyone;Justin Bieber;8.257.360,00
66;Wellerman - Sea Shanty / 220 KID x Billen Ted Remix;Nathan Evans;8.112.296,00
67;Batom de Cereja - Ao Vivo;Israel & Rodolffo;8.097.701,00
68;Roses - Imanbek Remix;SAINt JHN;8.089.780,00
69;In the morning;ITZY;8.072.544,00
70;My Head & My Heart;Ava Max;8.071.636,00
71;Volta Bebê-Volta Neném;Dj Guuga;8.044.699,00
72;durag activity (with Travis Scott);Baby Keem;7.939.784,00
73;Before You Go;Lewis Capaldi;7.778.467,00
74;you broke me first;Tate McRae;7.700.974,00
75;Solid (feat. Drake);Young Stoner Life;7.586.146,00
76;WAP (feat. Megan Thee Stallion);Cardi B;7.566.359,00
77;Levitating;Dua Lipa;7.532.880,00
78;Another Love;Tom Odell;7.474.473,00
79;bad guy;Billie Eilish;7.458.892,00
80;Whoopty;CJ;7.345.513,00
81;Reloj;Rauw Alejandro;7.290.673,00
82;Circles;Post Malone;7.273.232,00
83;Therefore I Am;Billie Eilish;7.155.134,00
84;Shallow;Lady Gaga;7.143.610,00
85;Martin & Gina;Polo G;7.096.417,00
86;Heather;Conan Gray;7.081.694,00
87;Holy (feat. Chance The Rapper);Justin Bieber;6.973.612,00
88;Follow You;Imagine Dragons;6.962.013,00
89;What You Know Bout Love;Pop Smoke;6.933.447,00
90;Rasputin;Majestic;6.919.802,00
91;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;6.896.535,00
92;Snow Tha Product: Bzrp Music Sessions-Vol.39;Bizarrap;6.893.936,00
93;Hawái;Maluma;6.808.934,00
94;GIRL LIKE ME;Black Eyed Peas;6.807.233,00
95;Believer;Imagine Dragons;6.702.649,00
96;Prisoner (feat. Dua Lipa);Miley Cyrus;6.637.380,00
97;goosebumps;Travis Scott;6.600.973,00
98;Disco Arranhado - Funk Remix;Malu;6.582.800,00
99;Wasted Love (feat. Lagique);Ofenbach;6.569.777,00
100;You;Regard;6.565.136,00
101;EVERY CHANCE I GET (feat. Lil Baby & Lil Durk);DJ Khaled;6.548.643,00
102;Memories;Maroon 5;6.546.862,00
103;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;6.437.400,00
104;Lucid Dreams;Juice WRLD;6.408.137,00
105;Slumber Party (feat. Princess Nokia);Ashnikko;6.407.956,00
106;BICHOTA;KAROL G;6.399.675,00
107;Shape of You;Ed Sheeran;6.398.017,00
108;Take Me To Church;Hozier;6.391.191,00
109;Body;Russ Millions;6.375.927,00
110;What’s Next;Drake;6.375.508,00
111;Adore You;Harry Styles;6.365.136,00
112;Señorita;Shawn Mendes;6.346.553,00
113;love race (feat. Kellin Quinn);Machine Gun Kelly;6.325.080,00
114;Liberdade (Quando o Grave Bate Forte);Alok;6.321.861,00
115;death bed (coffee for your head);Powfu;6.282.587,00
116;Miénteme;TINI;6.263.613,00
117;Say You Won't Let Go;James Arthur;6.195.656,00
118;Headshot (feat. Polo G & Fivio Foreign);Lil Tjay;6.191.920,00
119;POPSTAR (feat. Drake);DJ Khaled;6.127.103,00
120;everything i wanted;Billie Eilish;6.105.802,00
121;Aloha;Maluma;6.102.175,00
122;LET IT GO (feat. Justin Bieber & 21 Savage);DJ Khaled;6.083.338,00
123;Travesuras - Remix;Nio Garcia;6.063.508,00
124;Cloud 9;Beach Bunny;6.055.970,00
125;Perfect;Ed Sheeran;6.040.890,00
126;Breaking Me;Topic;6.039.849,00
127;Choker;Twenty One Pilots;6.023.200,00
128;Dreams - 2004 Remaster;Fleetwood Mac;5.975.350,00
129;Bohemian Rhapsody - Remastered 2011;Queen;5.947.984,00
130;Shy Away;Twenty One Pilots;5.909.217,00
131;Daddy Issues;The Neighbourhood;5.899.402,00
132;TE MUDASTE;Bad Bunny;5.897.157,00
133;Just the Way You Are;Bruno Mars;5.886.660,00
134;La Nota;Manuel Turizo;5.840.824,00
135;Lonely (with benny blanco);Justin Bieber;5.806.663,00
136;The Box;Roddy Ricch;5.804.337,00
137;Girl From Rio;Anitta;5.768.836,00
138;Golden;Harry Styles;5.766.457,00
139;Savage Love (Laxed - Siren Beat);Jawsh 685;5.765.801,00
140;The Nights;Avicii;5.752.041,00
141;No Te Enamores - Remix;Milly;5.718.218,00
142;At My Worst;Pink Sweat$;5.707.097,00
143;All of Me;John Legend;5.698.355,00
144;HIGHEST IN THE ROOM;Travis Scott;5.689.147,00
145;my ex's best friend (with blackbear);Machine Gun Kelly;5.686.246,00
146;Break My Heart;Dua Lipa;5.681.856,00
147;L-Gante: Bzrp Music Sessions-Vol.38;Bizarrap;5.679.819,00
148;On The Ground;ROSÉ;5.655.879,00
149;Laugh Now Cry Later (feat. Lil Durk);Drake;5.646.784,00
150;Yellow;Coldplay;5.640.374,00
151;Wake Me Up;Avicii;5.628.366,00
152;UN DIA (ONE DAY) (Feat. Tainy);J Balvin;5.616.494,00
153;7 rings;Ariana Grande;5.602.016,00
154;HOLIDAY;Lil Nas X;5.594.780,00
155;Freaks;Surf Curse;5.590.424,00
156;Dick (feat. Doja Cat);StarBoi3;5.566.956,00
157;SICKO MODE;Travis Scott;5.562.114,00
158;Blueberry Faygo;Lil Mosey;5.553.187,00
159;Cupid's Chokehold / Breakfast in America;Gym Class Heroes;5.551.773,00
160;Ride It;Regard;5.548.145,00
161;Falling;Harry Styles;5.526.849,00
162;Tapão Na Raba;Raí Saia Rodada;5.487.779,00
163;Mr. Perfectly Fine (Taylor’s Version) (From The Vault);Taylor Swift;5.480.722,00
164;512;Mora;5.476.770,00
165;when the party's over;Billie Eilish;5.467.596,00
166;SugarCrash!;ElyOtto;5.464.630,00
167;Machu Picchu;Camilo;5.446.485,00
168;Somebody That I Used To Know;Gotye;5.431.643,00
169;Wishing Well;Juice WRLD;5.427.778,00
170;Do I Wanna Know?;Arctic Monkeys;5.415.420,00
171;Another One Bites The Dust - Remastered 2011;Queen;5.412.006,00
172;The Hills;The Weeknd;5.395.551,00
173;Rain On Me (with Ariana Grande);Lady Gaga;5.394.507,00
174;Jocelyn Flores;XXXTENTACION;5.390.854,00
175;Life Is Good (feat. Drake);Future;5.388.956,00
176;Otra Noche Sin Ti;J Balvin;5.377.794,00
177;Bubblegum Bitch;MARINA;5.373.945,00
178;Every Breath You Take;The Police;5.372.227,00
179;Riptide;Vance Joy;5.315.216,00
180;Counting Stars;OneRepublic;5.296.775,00
181;Closer;The Chainsmokers;5.281.327,00
182;Stereo Hearts (feat. Adam Levine);Gym Class Heroes;5.276.037,00
183;Dior;Pop Smoke;5.265.554,00
184;Mr. Brightside;The Killers;5.246.034,00
185;Little Bit of Love;Tom Grennan;5.244.306,00
186;If the World Was Ending - feat. Julia Michaels;JP Saxe;5.226.154,00
187;Smells Like Teen Spirit;Nirvana;5.220.158,00
188;Met Him Last Night (feat. Ariana Grande);Demi Lovato;5.200.695,00
189;Back In Blood (feat. Lil Durk);Pooh Shiesty;5.198.209,00
190;The Real Slim Shady;Eminem;5.166.316,00
191;Ramen & OJ;Joyner Lucas;5.118.234,00
192;Can't Hold Us - feat. Ray Dalton;Macklemore & Ryan Lewis;5.115.904,00
193;Run It Up (feat. Offset & Moneybagg Yo);Lil Tjay;5.107.084,00
194;Come & Go (with Marshmello);Juice WRLD;5.081.846,00
195;Fan de Tus Fotos;Nicky Jam;5.076.957,00
196;Robbery;Juice WRLD;5.070.827,00
197;Explícito;Myke Towers;5.063.715,00
198;Godzilla (feat. Juice WRLD);Eminem;5.061.444,00
199;One Dance;Drake;5.039.376,00
200;Mi Niña;Wisin;5.026.961,00
